id,machine,start,processing_time,due_date,color,weight
1,Machine B,13,4,147,#041f1f,9
2,Machine B,5,9,130,#6f9944,1
3,Machine A,63,8,75,#5244a9,6
4,Machine B,80,8,194,#b2250a,10
5,Machine B,89,9,107,#05a8e5,6
6,Machine B,39,5,113,#255055,1
7,Machine A,93,4,162,#fc88ad,4
8,Machine B,3,5,71,#6ccef8,2
9,Machine A,85,4,147,#c24b96,1
10,Machine B,76,6,64,#a04f1d,1
11,Machine B,13,5,173,#829cf9,7
12,Machine A,29,6,78,#429064,5
13,Machine B,12,7,163,#c84684,10
14,Machine B,10,5,93,#5e06b4,4
15,Machine A,12,4,121,#925d6e,5
16,Machine A,59,7,179,#362734,1
17,Machine A,99,7,63,#eb33a8,4
18,Machine A,64,8,96,#82715d,10
19,Machine B,49,6,60,#5e1722,2
20,Machine A,12,9,51,#1f4ed4,1
21,Machine A,76,4,108,#5fa056,5
22,Machine B,87,6,127,#4c84ec,6
23,Machine B,2,9,53,#700b28,3
24,Machine A,18,10,81,#71512a,1
25,Machine A,42,9,132,#9d8cdb,4
26,Machine B,37,4,185,#a97cc2,7
27,Machine A,90,7,145,#30c477,1
28,Machine B,56,8,98,#23b57c,9
29,Machine B,87,4,88,#07ccaa,10
30,Machine A,49,5,59,#105b86,5
31,Machine B,6,4,161,#146519,2
32,Machine B,87,4,117,#d7f040,2
33,Machine A,89,6,96,#17c110,9
34,Machine A,22,9,134,#b65bd9,5
35,Machine B,21,10,154,#7d12f6,10
36,Machine B,81,6,107,#02e070,2
37,Machine A,3,4,176,#d3f867,4
38,Machine B,51,7,103,#81ad81,6
39,Machine B,91,9,128,#7c6750,10
40,Machine A,79,7,80,#0723bb,10
41,Machine B,47,7,149,#4d8d0e,3
42,Machine B,29,9,177,#3bb952,9
43,Machine A,40,4,57,#2d40f6,6
44,Machine A,34,5,145,#c49f11,6
45,Machine A,89,4,111,#c90084,4
46,Machine B,10,7,181,#e35d61,6
47,Machine A,87,8,153,#709c81,10
48,Machine B,22,6,51,#45ac6b,6
49,Machine B,0,5,151,#035357,3
50,Machine B,10,4,156,#902c8c,1
51,Machine B,85,4,91,#ab451f,6
52,Machine B,17,6,192,#e9bf6b,7
53,Machine A,23,6,182,#ab0ced,2
54,Machine A,56,5,98,#e6fcd1,1
55,Machine A,40,9,106,#a584a4,1
56,Machine B,100,9,118,#5f444f,7
57,Machine A,72,6,180,#2cea88,8
58,Machine A,45,6,170,#578c40,10
59,Machine B,7,7,91,#d8d4b1,10
60,Machine A,1,7,182,#9f9528,1
61,Machine A,20,5,119,#55c0de,1
62,Machine B,53,10,87,#ca5d12,7
63,Machine A,97,7,123,#17c52d,10
64,Machine B,89,7,100,#763e71,7
65,Machine B,6,7,139,#7b0496,9
66,Machine A,10,8,118,#d691b0,1
67,Machine A,40,4,145,#5bbd9a,2
68,Machine A,14,6,77,#04565c,9
69,Machine A,43,5,180,#486e23,7
70,Machine B,27,5,54,#ea4706,8
71,Machine A,92,9,126,#bd7668,8
72,Machine B,23,4,127,#b51b32,5
73,Machine A,44,7,55,#5f81fd,1
74,Machine A,83,6,156,#27cd3b,4
75,Machine A,87,9,155,#82fcbd,8
76,Machine B,87,4,112,#ec83e3,9
77,Machine A,75,7,54,#ed3e7a,5
78,Machine A,33,11,142,#0ca0c6,3
79,Machine A,56,9,134,#408ddd,4
80,Machine B,81,7,156,#008fd5,4
81,Machine A,79,7,127,#e3cc3f,10
82,Machine A,43,8,132,#3aa442,5
83,Machine B,4,5,62,#2e81ce,5
84,Machine A,56,4,135,#b041d4,10
85,Machine A,36,6,143,#52ff1e,6
86,Machine A,5,5,82,#73885d,4
87,Machine B,63,6,94,#03220e,1
88,Machine B,12,7,186,#5ca330,1
89,Machine B,97,5,88,#60ca85,7
90,Machine A,56,11,44,#dce6e4,8
91,Machine A,90,4,194,#5624aa,8
92,Machine A,24,4,50,#32acce,7
93,Machine A,16,9,180,#578267,3
94,Machine A,59,4,127,#2292a8,6
95,Machine B,76,7,125,#b48445,6
