id,machine,start,processing_time,due_date,color,weight
1,Machine A,37,10,136,#94f9ee,5
2,Machine B,99,8,55,#e136d5,3
3,Machine B,78,4,62,#259ce9,9
4,Machine A,1,7,63,#a8d4de,8
5,Machine A,22,4,151,#aad4bd,3
6,Machine B,45,9,80,#393292,8
7,Machine B,61,5,105,#876a85,7
8,Machine B,43,8,152,#c34c64,6
9,Machine A,11,6,68,#5c1512,2
10,Machine A,7,11,102,#7e654e,2
11,Machine B,91,6,143,#0970b0,5
12,Machine B,71,6,126,#3b1e3b,1
13,Machine B,82,5,98,#6f7cee,3
14,Machine A,92,5,107,#fc69a8,1
15,Machine B,10,4,134,#3a1547,1
16,Machine A,74,5,57,#622515,8
17,Machine A,83,7,81,#4bcd31,4
18,Machine B,27,4,101,#ef317f,2
19,Machine A,77,7,45,#cb58a3,1
20,Machine B,6,6,37,#d9ccd7,7
21,Machine A,15,10,60,#bd461f,6
22,Machine A,85,4,72,#443406,3
23,Machine B,44,5,49,#d2b94a,7
24,Machine A,39,6,76,#b80177,8
25,Machine A,98,11,165,#7ed1ef,8
26,Machine A,2,8,126,#070661,7
27,Machine B,40,5,128,#e3d5b9,8
28,Machine A,50,6,115,#975b45,7
29,Machine A,21,6,68,#9dc9b3,4
30,Machine A,52,6,154,#178ee2,10
31,Machine A,72,6,81,#30d2d5,2
32,Machine B,84,5,140,#8c15fa,8
33,Machine A,41,8,159,#615858,2
34,Machine B,75,5,95,#cd67ba,1
35,Machine B,47,6,55,#d88b6c,5
36,Machine A,12,7,73,#81f205,4
37,Machine A,72,10,89,#82b62b,5
38,Machine A,62,7,109,#dbd8e7,2
39,Machine A,41,6,47,#063167,1
40,Machine B,26,4,101,#52e4ff,7
41,Machine B,77,9,153,#8c54c3,3
42,Machine B,69,4,79,#db7f99,9
43,Machine B,72,6,60,#cceb85,7
44,Machine B,44,4,55,#d6a8af,5
45,Machine A,37,10,157,#8ee38d,8
46,Machine A,57,7,101,#b5dd27,10
47,Machine B,53,5,131,#17cf54,3
48,Machine A,76,4,145,#407e98,4
49,Machine A,82,6,52,#ea861f,2
50,Machine B,1,6,74,#26b7a3,8
51,Machine B,73,4,143,#744ea1,7
52,Machine B,34,6,157,#7fd050,2
53,Machine A,11,8,54,#3fef9a,2
54,Machine B,43,5,116,#854480,5
55,Machine B,66,4,45,#e0e388,8
56,Machine B,49,9,139,#40591c,9
57,Machine B,28,7,75,#7b4044,9
58,Machine A,13,8,43,#aa3ad0,3
59,Machine B,73,6,135,#547bbf,5
60,Machine A,47,5,88,#83840f,5
61,Machine B,73,7,53,#17d911,9
62,Machine B,6,10,150,#f4a06b,2
63,Machine B,31,7,134,#30f030,6
64,Machine B,43,9,101,#ce0669,7
65,Machine A,63,8,152,#746d42,5
66,Machine B,98,4,61,#2f8441,3
67,Machine B,88,9,101,#9b86c5,7
68,Machine B,74,7,100,#495d4e,5
69,Machine A,7,7,148,#2056e0,4
70,Machine A,52,4,142,#ab06ae,10
71,Machine A,23,4,46,#26623c,7
72,Machine A,84,5,37,#c76f00,10
73,Machine A,20,9,168,#c5242d,5
74,Machine A,34,9,136,#4f4d06,6
75,Machine A,70,4,152,#392b39,10
76,Machine B,97,5,37,#4c8314,2
77,Machine B,9,4,42,#9a9d55,6
78,Machine A,30,4,44,#7510b3,2
79,Machine B,73,5,53,#1b0919,2
80,Machine A,87,7,99,#3b5d91,7
81,Machine B,17,4,88,#b500c2,2
82,Machine A,75,10,47,#ef65dd,4
83,Machine A,96,6,85,#60055a,2
