id,machine,start,processing_time,due_date,color,weight
1,Machine A,18,7,166,#2a6fbc,4
2,Machine B,20,7,168,#38440d,10
3,Machine A,17,5,119,#648ecb,3
4,Machine A,41,5,169,#64f3d8,5
5,Machine A,19,6,122,#ea8dfb,1
6,Machine A,30,4,117,#959911,10
7,Machine B,38,5,128,#61bfe9,9
8,Machine A,71,7,43,#51ff94,6
9,Machine A,8,5,68,#82e8c7,2
10,Machine B,30,6,157,#700479,5
11,Machine B,42,4,52,#009647,4
12,Machine A,3,5,154,#5e5d6c,2
13,Machine A,84,8,125,#32c381,7
14,Machine A,40,7,188,#03a321,5
15,Machine A,52,8,94,#e613eb,10
16,Machine B,84,5,115,#e11b85,2
17,Machine B,94,4,120,#00fe56,4
18,Machine A,71,11,139,#91780b,5
19,Machine B,97,9,173,#8636ff,5
20,Machine B,23,6,79,#bfb6f2,1
21,Machine A,52,5,155,#bfebcc,5
22,Machine B,83,5,154,#d9973d,10
23,Machine A,24,6,144,#ca0dd8,7
24,Machine B,18,6,133,#61dbc9,4
25,Machine A,70,8,107,#7eb2db,5
26,Machine B,16,5,129,#678d93,2
27,Machine B,99,5,66,#fbc034,9
28,Machine A,6,7,171,#8b59ac,7
29,Machine B,58,5,97,#dd2609,10
30,Machine B,1,7,49,#3d0be2,9
31,Machine B,50,6,157,#639bfe,7
32,Machine B,59,6,99,#0fb9d6,7
33,Machine A,23,6,137,#6d8a24,8
34,Machine B,6,7,130,#2f0344,7
35,Machine B,85,5,66,#bcc109,4
36,Machine A,7,9,88,#9e442e,5
37,Machine B,2,9,164,#438ec1,5
38,Machine B,58,5,187,#ae3794,6
39,Machine B,70,5,107,#d2e290,3
40,Machine A,12,4,174,#21810f,9
41,Machine A,49,5,126,#855615,1
42,Machine B,100,6,119,#4c0c96,9
43,Machine A,86,6,115,#713e16,6
44,Machine A,15,4,151,#76c4a4,8
45,Machine A,10,8,78,#397811,5
46,Machine A,85,8,134,#250d45,2
47,Machine A,100,4,131,#a11f15,3
48,Machine A,87,7,151,#5a6325,5
49,Machine A,3,4,94,#8e9e56,8
50,Machine A,94,6,129,#f24df7,7
51,Machine A,77,4,152,#12dd77,9
52,Machine A,83,9,123,#2e88f4,8
53,Machine B,38,4,132,#a60b42,2
54,Machine B,71,7,178,#1924d2,4
55,Machine A,27,6,80,#e7791f,10
56,Machine B,60,4,113,#5fb18a,2
57,Machine B,1,4,96,#ae121f,6
58,Machine A,91,5,46,#99f512,10
59,Machine A,18,4,133,#e5781b,1
60,Machine B,73,8,85,#9f1436,8
61,Machine B,40,8,44,#249a36,7
62,Machine A,20,8,141,#0cb3fb,3
63,Machine B,14,6,161,#f68a40,10
64,Machine A,16,7,103,#fc8f77,5
65,Machine A,22,6,102,#475613,7
66,Machine A,82,4,155,#f254b3,4
67,Machine A,12,7,98,#2a2403,7
68,Machine A,45,5,90,#7670f3,8
69,Machine A,77,4,174,#05b173,8
70,Machine A,23,4,174,#cac2f2,3
71,Machine B,94,8,139,#c973b6,8
72,Machine B,10,7,77,#d772df,3
73,Machine A,35,6,62,#ee43fe,3
74,Machine A,49,7,68,#3cde9c,10
75,Machine B,41,4,59,#589e55,3
76,Machine A,47,5,127,#d6c2c8,7
77,Machine A,67,5,135,#f1199c,5
78,Machine A,23,7,147,#b002e7,10
79,Machine A,53,6,64,#4e7579,9
80,Machine A,52,7,128,#5070c3,7
81,Machine A,20,4,93,#f1bb1f,9
82,Machine A,76,8,118,#28d85c,4
83,Machine B,76,4,107,#dce5d8,1
84,Machine B,35,4,108,#197af3,9
85,Machine A,57,8,112,#ec4bd8,6
86,Machine A,2,5,157,#e67e37,1
87,Machine B,28,6,45,#c6600b,7
88,Machine A,8,5,102,#df7a02,8
89,Machine B,29,4,92,#aded7a,3
90,Machine A,18,5,167,#9fe17d,1
91,Machine B,70,5,90,#cba3b4,10
92,Machine A,17,6,44,#d368e5,1
93,Machine B,81,5,123,#4bc2c8,2
