id,machine,start,processing_time,due_date,color,weight
1,Machine A,33,10,62,#0ee1e5,9
2,Machine B,32,6,101,#54a55c,2
3,Machine A,69,4,33,#35bcb7,6
4,Machine B,5,5,76,#6dc630,8
5,Machine A,36,4,91,#2b4c58,1
6,Machine A,79,5,118,#49b2dc,9
7,Machine B,92,6,33,#f8f091,6
8,Machine A,95,5,61,#209c13,1
9,Machine C,100,8,92,#33c247,4
10,Machine B,98,4,111,#77f570,8
11,Machine C,70,4,33,#ba0bb7,2
12,Machine A,59,5,72,#4c3df0,7
13,Machine A,58,4,36,#330cc7,4
14,Machine A,22,5,28,#b961e1,3
15,Machine B,83,6,80,#e9115b,5
16,Machine B,78,6,81,#592fc1,5
17,Machine A,45,8,55,#8b28a6,10
18,Machine C,83,5,58,#bdd43e,3
19,Machine C,46,4,33,#f20633,5
20,Machine C,19,6,99,#7eb969,5
21,Machine A,47,7,108,#0e377b,4
22,Machine B,36,9,112,#63bb96,9
23,Machine A,70,4,116,#a9aa43,3
24,Machine A,58,6,31,#2f2cee,5
25,Machine A,67,8,36,#f245ea,10
26,Machine C,2,5,103,#9e22d3,10
27,Machine C,18,7,115,#9f93b1,4
28,Machine C,12,4,109,#832770,8
29,Machine B,84,4,57,#15eca1,1
30,Machine B,81,5,51,#328b8f,5
31,Machine C,54,4,113,#c9cea1,3
32,Machine A,36,6,57,#af84d7,7
33,Machine C,35,9,96,#85243e,9
34,Machine A,97,5,39,#09163e,10
35,Machine C,4,8,118,#54ac0c,4
36,Machine C,7,4,95,#79bacf,4
37,Machine B,58,7,32,#230779,8
38,Machine A,85,4,68,#447e21,9
39,Machine A,67,4,118,#1cb2c8,10
40,Machine A,6,5,114,#12319b,2
41,Machine B,76,4,96,#17e202,4
42,Machine C,39,4,43,#bc4d29,5
43,Machine A,37,5,71,#501c28,6
44,Machine A,59,5,76,#c0a845,1
45,Machine B,100,8,110,#cb54b5,2
46,Machine B,47,6,95,#82d9a9,3
47,Machine B,4,5,38,#edeac2,8
48,Machine A,19,5,57,#d2078f,3
49,Machine B,24,7,42,#59dbda,1
50,Machine A,27,5,74,#f85a6b,10
51,Machine B,7,7,30,#167e94,4
52,Machine B,82,9,93,#aa9e35,8
53,Machine A,74,5,56,#031d8b,1
54,Machine C,3,10,80,#9ae8f2,2
55,Machine A,66,7,108,#b09802,7
56,Machine C,42,6,112,#aaca8f,5
57,Machine A,61,6,52,#d67d18,9
58,Machine B,49,4,52,#518e8e,4
59,Machine B,6,6,62,#1fe689,1
60,Machine A,31,4,88,#79f2e5,2
61,Machine B,100,6,106,#029241,1
62,Machine B,72,8,69,#5d43c3,10
63,Machine A,50,5,99,#93d519,3
64,Machine A,69,4,79,#0cfc6c,8
65,Machine C,64,5,86,#8ece8c,5
66,Machine B,35,5,47,#febf31,2
67,Machine A,13,6,66,#48b472,8
68,Machine C,77,4,34,#a7acd5,10
69,Machine A,56,6,110,#fcb29a,3
70,Machine C,31,5,37,#5b5770,6
71,Machine C,49,6,112,#c3396a,2
72,Machine B,92,5,79,#d63205,4
73,Machine C,33,6,76,#ff7990,1
74,Machine A,60,4,67,#a108d9,7
75,Machine C,53,4,78,#592994,10
76,Machine A,62,5,60,#753c08,6
77,Machine B,16,4,52,#41e7dc,8
78,Machine C,18,4,54,#afde8c,6
79,Machine A,78,5,89,#b690f6,1
80,Machine A,85,4,80,#86bcd7,10
81,Machine B,63,5,33,#ef3e34,5
82,Machine B,57,5,109,#81dafe,9
83,Machine A,30,5,83,#ec5a2d,7
84,Machine C,22,5,61,#82c030,7
85,Machine A,6,4,87,#07f8f3,10
86,Machine A,45,4,56,#e87fda,1
