id,machine,start,processing_time,due_date,color,weight
1,Machine A,29,8,112,#c98b6c,4
2,Machine A,16,4,158,#fe3287,9
3,Machine B,10,5,67,#194145,1
4,Machine A,100,5,55,#651c82,1
5,Machine A,81,8,131,#416082,10
6,Machine B,1,9,152,#a6dc03,2
7,Machine A,98,6,50,#d1adc6,6
8,Machine B,100,7,97,#7eb6e5,1
9,Machine A,97,5,161,#eb1ee3,6
10,Machine A,79,5,44,#8c6847,2
11,Machine B,95,4,59,#901dd6,8
12,Machine B,39,9,58,#5b9bc2,10
13,Machine B,85,9,91,#f7877f,9
14,Machine A,63,8,136,#b37013,10
15,Machine B,13,4,72,#a10bbc,2
16,Machine A,98,5,124,#6b4276,3
17,Machine A,21,10,77,#86a7c7,4
18,Machine A,64,9,144,#41c09a,1
19,Machine A,99,7,127,#fd5de6,1
20,Machine A,22,4,140,#512283,4
21,Machine B,22,4,117,#5a6814,1
22,Machine A,45,4,134,#ad1bb1,6
23,Machine A,51,8,62,#168952,7
24,Machine B,58,4,111,#186bbb,1
25,Machine B,24,6,60,#5975aa,9
26,Machine B,0,8,78,#4c845c,5
27,Machine B,93,9,147,#2cd8af,9
28,Machine A,66,7,38,#40b344,5
29,Machine B,37,6,154,#1f2f38,5
30,Machine B,3,6,54,#a54627,10
31,Machine A,99,5,159,#f613e4,4
32,Machine A,79,4,108,#c34a01,1
33,Machine A,55,5,133,#3191e2,9
34,Machine B,61,7,48,#d30807,8
35,Machine A,91,4,140,#2d0b82,5
36,Machine A,88,11,92,#116d27,6
37,Machine A,18,5,118,#3eb506,1
38,Machine A,8,7,155,#e95269,7
39,Machine A,98,9,87,#6635e9,3
40,Machine B,65,5,133,#ed0c58,1
41,Machine A,9,4,91,#828198,7
42,Machine A,85,8,153,#ad56ce,8
43,Machine B,94,9,52,#5ae503,4
44,Machine B,2,5,107,#38a7e3,6
45,Machine B,51,4,158,#fe1f5a,4
46,Machine A,79,6,160,#221c23,1
47,Machine B,57,10,38,#19b068,10
48,Machine B,7,5,79,#b6ae0c,9
49,Machine A,68,11,130,#2c9fb8,1
50,Machine A,86,10,72,#e5c383,10
51,Machine A,3,6,151,#97f6a8,5
52,Machine B,75,4,37,#474cc7,5
53,Machine B,85,4,73,#56292f,3
54,Machine B,73,4,131,#1d75d5,7
55,Machine B,86,6,36,#b578cc,2
56,Machine A,82,7,86,#cbc385,6
57,Machine B,4,6,98,#e683cb,4
58,Machine B,64,6,80,#19f743,2
59,Machine B,15,6,51,#90d031,4
60,Machine A,99,5,152,#5da1b7,1
61,Machine A,24,5,79,#fec359,4
62,Machine A,92,7,160,#cd0b48,1
63,Machine A,36,7,116,#739181,10
64,Machine A,57,6,50,#4399cc,9
65,Machine B,61,8,82,#1d5398,5
66,Machine B,31,6,38,#479cf4,8
67,Machine A,45,6,136,#19e4e4,8
68,Machine A,23,10,117,#67ad33,9
69,Machine B,73,9,154,#0fa0e7,4
70,Machine A,3,4,108,#1d4037,9
71,Machine A,15,8,144,#13fd4d,1
72,Machine A,86,6,41,#803d19,2
73,Machine A,46,7,115,#8cbea8,9
74,Machine B,95,4,80,#50cad5,9
75,Machine B,50,4,134,#4203fe,9
76,Machine B,95,5,96,#6bb3a6,5
77,Machine A,17,8,88,#5b3d49,9
78,Machine A,74,4,57,#a27834,4
79,Machine B,78,5,159,#6a1af7,2
