id,machine,start,processing_time,due_date,color,weight
1,Machine A,59,5,23,#fbe6e6,6
2,Machine A,80,4,63,#6025f0,6
3,Machine B,18,7,34,#a42b6a,8
4,Machine E,21,4,68,#09ee31,8
5,Machine C,81,6,32,#4de683,9
6,Machine A,43,6,52,#19695f,5
7,Machine A,53,5,44,#0b54bd,9
8,Machine A,80,5,41,#5f3336,8
9,Machine D,78,5,29,#345d30,3
10,Machine A,73,4,26,#907151,9
11,Machine A,51,4,68,#89d3f1,3
12,Machine B,9,4,64,#400523,10
13,Machine E,10,4,26,#e07825,10
14,Machine B,20,6,47,#043353,8
15,Machine A,43,4,68,#7732f0,10
16,Machine D,29,6,17,#2e2e4c,7
17,Machine B,40,5,28,#4d2669,9
18,Machine C,40,4,43,#078a03,9
19,Machine C,83,5,48,#fcb675,5
20,Machine C,37,4,25,#6f3346,6
21,Machine A,90,4,57,#af0f33,8
22,Machine B,34,4,50,#d72a18,9
23,Machine E,77,4,51,#9f86fa,4
24,Machine E,82,5,63,#ff2dba,2
25,Machine D,50,4,37,#be27c2,8
26,Machine B,34,5,67,#ed680c,5
27,Machine D,56,5,48,#103fd9,6
28,Machine E,99,4,36,#a91659,7
29,Machine A,46,5,33,#291300,5
30,Machine A,95,5,52,#4acc06,3
31,Machine B,75,4,53,#1cb10e,5
32,Machine A,66,5,20,#887328,1
33,Machine B,57,6,42,#c8eb81,1
34,Machine B,52,5,23,#248c88,9
35,Machine D,21,7,61,#f0b714,3
36,Machine A,23,4,27,#5cfb2a,6
37,Machine C,2,4,20,#626707,5
38,Machine C,16,4,30,#800a6a,8
39,Machine C,93,5,69,#c35e1d,9
40,Machine B,30,4,33,#067589,1
41,Machine D,84,4,47,#3e71be,8
42,Machine D,32,5,70,#7f77fe,8
43,Machine B,95,4,57,#c5043a,5
44,Machine A,89,5,23,#e2cbc6,1
45,Machine A,95,4,45,#7e8c0a,7
46,Machine D,10,4,64,#112842,5
47,Machine C,26,4,38,#65fae7,10
48,Machine B,21,4,33,#ebf284,4
49,Machine A,50,7,40,#301b90,1
50,Machine C,13,4,40,#6ab995,9
51,Machine B,12,5,52,#f21630,6
52,Machine A,8,8,52,#c73b1f,4
53,Machine D,60,4,68,#9fcccc,7
54,Machine D,70,5,33,#a56889,9
55,Machine D,6,5,39,#513584,7
56,Machine D,3,6,18,#159964,7
57,Machine D,98,4,43,#3e8955,4
58,Machine E,50,6,24,#81b235,3
59,Machine D,67,6,39,#f663b9,7
60,Machine A,97,5,60,#98fe07,7
61,Machine C,10,4,55,#65bf1a,4
62,Machine C,13,4,29,#b889d7,5
63,Machine A,33,6,53,#1aab36,2
64,Machine C,79,4,53,#6f81f0,7
65,Machine C,19,4,58,#39d1c2,4
66,Machine A,10,8,58,#78d083,9
67,Machine B,83,5,51,#de4a6f,10
68,Machine C,49,4,28,#a626a1,5
69,Machine A,39,4,66,#07b6f4,5
70,Machine B,29,5,35,#55b041,9
71,Machine A,31,4,39,#8d5cfc,5
72,Machine B,94,4,37,#3d42b6,7
73,Machine E,36,5,60,#caa762,4
74,Machine D,56,6,49,#7c7634,2
75,Machine B,80,4,48,#049274,3
76,Machine B,16,5,66,#158027,3
77,Machine B,16,4,64,#f356ad,5
78,Machine C,67,5,45,#4f5b1a,2
79,Machine B,21,5,22,#be27f7,8
80,Machine B,3,4,41,#2dd04f,10
81,Machine E,4,6,56,#7f5886,8
82,Machine E,84,4,35,#50bdda,5
