id,machine,start,processing_time,due_date,color,weight
1,Machine A,82,4,53,#e58962,10
2,Machine C,87,6,45,#adfa6f,8
3,Machine A,56,5,23,#865997,8
4,Machine D,45,5,66,#3a8202,3
5,Machine A,78,4,67,#725de9,1
6,Machine C,29,5,52,#771e4a,5
7,Machine D,70,6,28,#4862e2,2
8,Machine C,46,7,22,#347d70,7
9,Machine A,85,4,60,#63c6cf,1
10,Machine A,21,5,45,#1e2fe0,6
11,Machine A,4,5,56,#2e5fac,1
12,Machine A,29,5,71,#5c51ce,9
13,Machine D,60,4,61,#3064e7,5
14,Machine B,21,4,36,#6c05c4,3
15,Machine D,26,4,37,#f74c4f,8
16,Machine A,11,6,46,#72c2b0,10
17,Machine D,3,5,25,#8fb372,10
18,Machine D,56,6,20,#b4239e,6
19,Machine A,22,5,33,#8dc716,7
20,Machine B,40,5,57,#47a310,10
21,Machine A,57,4,65,#a369d8,9
22,Machine A,38,6,73,#37e3b7,9
23,Machine A,61,4,70,#3db9fc,3
24,Machine A,3,5,42,#6a1d92,6
25,Machine B,4,8,42,#861fe7,8
26,Machine C,82,4,70,#8c9fae,6
27,Machine B,18,4,28,#290ea4,3
28,Machine C,14,4,35,#1c3358,3
29,Machine B,71,4,21,#f79511,4
30,Machine D,66,5,76,#c6f270,9
31,Machine C,98,5,50,#4e1982,7
32,Machine B,68,8,80,#d84b89,6
33,Machine A,36,4,41,#b140f8,10
34,Machine C,71,4,53,#c9345b,7
35,Machine D,6,4,33,#f898c4,9
36,Machine A,39,4,32,#7a18a3,9
37,Machine B,84,5,41,#64cfb3,4
38,Machine B,97,5,29,#52b49c,7
39,Machine A,25,6,80,#1885ea,5
40,Machine D,38,5,43,#b03514,4
41,Machine C,94,7,80,#347f25,4
42,Machine C,57,4,48,#48afbf,4
43,Machine A,5,5,77,#44486b,1
44,Machine A,23,4,27,#e762bd,8
45,Machine C,97,8,49,#8d372d,3
46,Machine C,19,4,54,#64c828,7
47,Machine B,35,5,24,#4054be,3
48,Machine B,38,5,36,#89ca09,9
49,Machine C,63,4,75,#1d6591,3
50,Machine A,64,4,58,#b6f7ee,3
51,Machine C,84,4,19,#0c8f6f,9
52,Machine B,26,5,44,#addce6,7
53,Machine B,53,6,31,#c4a067,6
54,Machine B,21,5,28,#03e1e7,8
55,Machine B,27,6,34,#3e6a05,2
56,Machine A,68,4,50,#6669bf,10
57,Machine B,22,6,39,#eab27e,6
58,Machine D,67,4,80,#1328fb,10
59,Machine A,42,7,31,#497d04,3
60,Machine D,94,4,68,#9b741a,10
61,Machine B,87,4,70,#f4f001,1
62,Machine C,5,8,73,#24eea5,1
63,Machine A,4,5,53,#1558ce,8
64,Machine B,23,4,52,#4f6263,8
65,Machine B,42,4,30,#bbf998,2
66,Machine C,27,10,73,#fd3be8,8
67,Machine D,31,5,46,#876b02,8
68,Machine B,8,4,66,#51f292,4
69,Machine B,91,8,58,#63a430,3
70,Machine C,24,5,28,#0577a5,3
71,Machine A,87,4,71,#5cfaa7,1
72,Machine B,24,4,80,#96bf1d,1
73,Machine C,13,4,52,#a657b2,1
74,Machine A,55,5,32,#f80040,4
75,Machine A,12,5,28,#4be227,9
76,Machine A,100,4,70,#f6f92e,9
77,Machine C,6,4,72,#dae645,7
