id,machine,start,processing_time,due_date,color,weight
1,Machine A,31,6,79,#d3ae95,9
2,Machine B,65,9,36,#1a099c,9
3,Machine A,89,7,31,#fd30c7,5
4,Machine A,82,8,42,#4b0820,5
5,Machine A,23,4,75,#5d1549,10
6,Machine A,56,4,84,#5ad676,5
7,Machine B,70,6,30,#d447ce,2
8,Machine A,18,6,88,#0d879a,9
9,Machine B,15,4,73,#db8320,1
10,Machine B,23,6,60,#cc89cc,3
11,Machine A,81,7,61,#b7cc23,10
12,Machine A,30,6,28,#554e51,7
13,Machine A,5,4,35,#3a6b7b,4
14,Machine B,26,8,84,#22f2ff,3
15,Machine A,69,4,46,#087913,1
16,Machine B,52,8,95,#8a8d15,5
17,Machine A,37,6,101,#f57f0e,1
18,Machine A,75,4,63,#49be16,6
19,Machine A,14,8,42,#744109,7
20,Machine A,94,5,44,#eb25c2,4
21,Machine A,34,5,71,#ef201b,6
22,Machine A,50,7,61,#77c925,7
23,Machine B,97,5,61,#b141c2,3
24,Machine B,88,4,40,#f04301,2
25,Machine B,44,5,47,#80ee0c,9
26,Machine A,3,9,68,#674922,4
27,Machine B,76,5,24,#a9d5a9,8
28,Machine B,30,8,30,#b86923,10
29,Machine A,86,4,95,#c5d789,5
30,Machine A,74,5,73,#6503d2,8
31,Machine A,44,4,56,#be4e53,1
32,Machine A,19,11,54,#d3bad6,10
33,Machine A,0,8,64,#73db17,1
34,Machine A,1,4,92,#b12e59,1
35,Machine A,30,7,42,#218abf,5
36,Machine A,19,8,93,#f3bbbc,4
37,Machine A,39,4,47,#1b1fec,9
38,Machine B,82,4,52,#c042d1,7
39,Machine B,98,5,80,#1614e6,3
40,Machine A,80,5,33,#3c113e,3
41,Machine A,37,11,43,#d1b59e,1
42,Machine A,53,11,24,#beae16,1
43,Machine A,68,4,74,#4a2167,7
44,Machine A,73,9,60,#a85ad4,6
45,Machine A,6,6,45,#4aca67,9
46,Machine A,30,4,71,#910fc7,2
47,Machine A,46,6,72,#1f97ca,10
48,Machine B,54,7,69,#3ecd4f,8
49,Machine B,94,5,76,#bc4ed1,3
50,Machine B,12,5,75,#faedbb,6
