id,machine,start,processing_time,due_date,color,weight
1,Machine D,79,5,27,#ff7b4f,2
2,Machine E,39,4,33,#4b6883,9
3,Machine A,50,6,43,#15665e,5
4,Machine C,97,4,49,#905a4c,8
5,Machine A,97,4,39,#ca1cea,2
6,Machine A,40,4,41,#194139,5
7,Machine A,57,4,17,#997ff5,7
8,Machine D,33,5,30,#34b989,3
9,Machine A,80,4,46,#c7a509,3
10,Machine B,80,4,14,#71da86,1
11,Machine A,34,4,25,#16e507,2
12,Machine D,48,4,13,#73cef0,5
13,Machine D,47,4,16,#52dc12,9
14,Machine E,89,8,42,#c634f0,4
15,Machine A,27,4,27,#984146,4
16,Machine D,23,4,36,#a83200,4
17,Machine C,47,4,40,#cd1c30,6
18,Machine A,87,4,36,#836e86,5
19,Machine B,40,8,48,#dbda47,1
20,Machine D,35,6,22,#ef3dc6,2
21,Machine B,36,4,37,#98d662,2
22,Machine A,9,6,14,#37e785,3
23,Machine B,14,7,45,#2aa834,8
24,Machine A,66,5,24,#cd7450,3
25,Machine D,12,4,34,#12f250,9
26,Machine B,98,4,24,#a55350,4
27,Machine A,88,4,39,#761d21,7
28,Machine D,68,6,28,#0a7637,1
29,Machine A,85,7,43,#c6183d,4
30,Machine B,97,4,50,#8016a0,1
31,Machine C,89,5,29,#10fe53,9
32,Machine D,43,5,17,#f91c20,8
33,Machine D,10,6,22,#07eb22,7
34,Machine A,27,7,45,#757cd6,5
35,Machine A,48,4,46,#98c3aa,8
36,Machine A,57,5,37,#42e996,8
37,Machine A,24,4,40,#ac2e9b,1
38,Machine A,65,4,50,#3a9ec8,10
39,Machine A,2,4,19,#e6b8c9,1
40,Machine A,87,4,18,#1b2d57,7
41,Machine D,43,6,21,#3f2c08,8
42,Machine D,18,4,21,#2367cd,7
43,Machine E,7,7,25,#bf5df4,2
44,Machine C,26,4,23,#331e5d,9
45,Machine A,70,4,17,#602b04,4
46,Machine B,82,4,29,#cb517b,8
47,Machine A,82,4,23,#48cea2,7
48,Machine A,69,6,33,#c85335,3
49,Machine C,12,4,23,#edd916,10
50,Machine C,88,5,37,#058441,6
51,Machine D,75,7,18,#ecbbf6,1
52,Machine A,27,5,19,#8df698,8
53,Machine D,56,4,50,#59ad76,7
54,Machine C,92,5,44,#3c58e4,8
55,Machine A,54,4,47,#aa0ad3,2
56,Machine D,65,4,49,#7e42ba,7
57,Machine A,38,4,22,#224bd1,3
58,Machine C,99,7,34,#7f78c3,2
