id,machine,start,processing_time,due_date,color,weight
1,Machine D,17,4,21,#a10c09,6
2,Machine A,57,5,52,#16270c,5
3,Machine D,28,5,39,#69bd43,2
4,Machine D,21,4,30,#158ab0,5
5,Machine D,19,4,47,#3f3d6b,10
6,Machine C,20,5,61,#6f2d33,2
7,Machine C,33,5,19,#88f0b0,2
8,Machine B,29,5,32,#233834,7
9,Machine A,6,7,17,#4bd895,9
10,Machine D,91,4,48,#93406a,10
11,Machine C,79,7,36,#a3f14c,8
12,Machine A,36,5,27,#6fc072,7
13,Machine A,45,4,46,#ec4496,9
14,Machine A,71,4,67,#7d38de,4
15,Machine D,15,6,28,#457a8c,1
16,Machine D,2,7,60,#d3518a,5
17,Machine B,97,4,59,#679c31,1
18,Machine B,69,5,65,#f58f9e,5
19,Machine C,45,6,28,#fcb728,10
20,Machine D,96,4,52,#70d7d4,6
21,Machine D,66,5,49,#8c9951,6
22,Machine C,45,5,18,#7ac941,9
23,Machine D,65,6,55,#1645ad,4
24,Machine C,23,4,57,#647c66,2
25,Machine C,43,4,42,#ac6625,10
26,Machine A,30,4,68,#958005,3
27,Machine E,72,4,57,#8ddd86,10
28,Machine A,34,7,50,#833814,3
29,Machine C,60,5,63,#67d0c5,8
30,Machine A,64,7,19,#fc17a5,4
31,Machine C,71,5,48,#fd1aa3,1
32,Machine C,13,4,39,#afffbe,3
33,Machine D,71,4,53,#b8ac52,10
34,Machine A,32,4,29,#90830a,5
35,Machine A,58,5,50,#659fc6,6
36,Machine B,70,4,68,#fc0a0d,8
37,Machine C,39,5,31,#08c6de,9
38,Machine B,95,5,56,#caf77c,5
39,Machine A,75,7,25,#b9edf5,10
40,Machine B,74,4,42,#9dfed6,4
41,Machine D,31,4,30,#b3cdf5,1
42,Machine C,92,6,28,#afc66f,10
43,Machine A,48,4,38,#dfa2c4,5
44,Machine A,71,6,17,#213a30,3
45,Machine C,92,6,60,#3ccb61,2
46,Machine E,65,7,32,#87475b,7
47,Machine A,26,8,52,#9c2266,6
48,Machine A,58,5,42,#b9fd41,10
49,Machine C,54,4,51,#05e9c9,4
50,Machine B,20,5,58,#02b43c,2
51,Machine E,54,5,25,#c9a6b1,6
52,Machine D,47,4,45,#012b0c,4
53,Machine C,83,4,41,#1b0641,10
54,Machine D,7,4,18,#12e575,10
55,Machine E,98,8,55,#55c0a7,1
56,Machine A,63,6,32,#40a70e,1
57,Machine A,52,4,65,#bd9fb3,1
58,Machine A,33,9,56,#aff14d,9
59,Machine C,78,5,49,#c4ce8d,2
60,Machine A,27,4,67,#d846bc,2
61,Machine A,74,6,17,#882ecd,10
62,Machine E,63,7,31,#d2849b,8
63,Machine A,89,4,35,#09c53b,8
64,Machine A,19,6,54,#621191,7
65,Machine D,97,4,49,#4bff5a,6
66,Machine D,27,4,37,#ea3189,1
67,Machine C,75,4,67,#fb3a69,8
68,Machine D,7,4,25,#043da2,2
69,Machine C,20,5,19,#a3d146,10
70,Machine C,61,5,40,#d4ae11,8
71,Machine A,0,5,46,#92c0fe,5
72,Machine A,99,4,29,#bd1ab4,7
73,Machine E,74,4,44,#46bc97,3
74,Machine A,88,5,34,#c00549,10
75,Machine C,32,5,47,#e53324,5
76,Machine E,66,4,47,#4d172b,3
77,Machine A,91,4,68,#93035f,10
78,Machine C,90,6,22,#898c72,3
79,Machine C,47,4,39,#7c5bab,2
80,Machine A,38,4,18,#978fae,8
