id,machine,start,processing_time,due_date,color,weight
1,Machine A,61,4,54,#2dbcfd,4
2,Machine B,66,8,67,#76401b,6
3,Machine A,42,4,52,#91ae46,5
4,Machine A,28,6,46,#0885d0,2
5,Machine B,57,9,59,#8d0d5d,1
6,Machine B,72,6,19,#e182bf,6
7,Machine A,71,4,49,#b66c27,8
8,Machine B,98,4,59,#170f53,8
9,Machine B,19,4,49,#158d1b,3
10,Machine C,14,6,36,#15367a,6
11,Machine A,36,4,17,#9faff5,1
12,Machine B,92,9,48,#abe2db,5
13,Machine B,73,6,38,#9a0b82,1
14,Machine D,21,4,62,#115d8a,3
15,Machine A,39,5,37,#468af7,6
16,Machine C,10,4,65,#429f7d,9
17,Machine A,28,5,29,#f48271,10
18,Machine D,60,4,61,#0bd441,9
19,Machine C,13,5,52,#cff148,9
20,Machine D,61,7,17,#1303b8,2
21,Machine C,30,9,40,#c4d39d,1
22,Machine B,0,4,29,#9ece79,9
23,Machine A,54,5,64,#9d917a,6
24,Machine C,88,9,42,#7be6ea,6
25,Machine D,24,5,38,#aa004d,9
26,Machine A,72,7,56,#dfcae2,8
27,Machine B,4,4,57,#b2524e,3
28,Machine B,67,5,47,#14d945,4
29,Machine D,47,7,26,#7355d7,6
30,Machine D,67,4,44,#c9987b,8
31,Machine D,27,5,50,#6c1dea,9
32,Machine A,4,4,30,#6f60ad,5
33,Machine A,52,6,56,#ce90fd,6
34,Machine A,71,8,40,#95f489,8
35,Machine A,33,4,19,#f97754,3
36,Machine D,87,4,66,#47bbcc,1
37,Machine D,64,5,46,#54592e,9
38,Machine B,26,4,64,#9bda7e,1
39,Machine C,54,4,61,#b9c389,3
40,Machine B,99,4,18,#a68197,5
41,Machine B,97,4,39,#31ce83,2
42,Machine A,66,4,22,#f81220,1
43,Machine B,15,5,29,#13a6bc,5
44,Machine A,54,7,19,#711de3,2
45,Machine C,56,5,43,#78af4e,6
46,Machine B,20,4,55,#b2eecf,1
47,Machine C,25,7,43,#211610,8
48,Machine B,68,7,45,#97f475,5
49,Machine A,50,5,28,#5e3255,10
50,Machine A,54,6,21,#8571ea,4
51,Machine B,43,4,66,#8b56d8,2
52,Machine A,85,6,25,#d05e94,7
53,Machine B,52,5,51,#cd815d,7
54,Machine A,5,5,23,#7edda3,1
55,Machine B,51,5,37,#120816,9
56,Machine D,60,4,41,#14cd02,2
57,Machine A,61,5,52,#11d9fd,7
58,Machine B,47,4,32,#850b0b,2
59,Machine A,44,9,52,#b6c43d,2
60,Machine A,72,5,45,#6c6669,6
61,Machine B,45,5,67,#094ea7,6
62,Machine C,57,6,18,#8be42c,7
63,Machine C,100,5,28,#d5909c,7
