id,machine,start,processing_time,due_date,color,weight
1,Machine A,69,5,33,#eaf8cd,8
2,Machine A,19,5,75,#4fcc6c,5
3,Machine B,89,5,28,#9fe6a5,2
4,Machine C,71,7,46,#91275f,7
5,Machine B,65,5,73,#720975,10
6,Machine B,72,5,40,#291227,6
7,Machine A,23,5,21,#5ab050,9
8,Machine C,60,8,47,#f12da3,6
9,Machine C,5,6,75,#059447,3
10,Machine A,89,4,69,#310e36,5
11,Machine A,12,4,45,#0c68f0,7
12,Machine B,5,7,59,#84b18a,1
13,Machine A,8,5,63,#196fb5,5
14,Machine A,18,4,50,#8cf2f8,5
15,Machine B,40,8,35,#bce0cc,9
16,Machine A,42,4,73,#d41f67,1
17,Machine C,25,4,45,#d16078,9
18,Machine C,56,7,43,#ef145d,6
19,Machine A,90,4,28,#466e03,2
20,Machine B,13,6,34,#961faa,2
21,Machine B,77,4,41,#50ff8b,9
22,Machine C,42,5,61,#eb813c,1
23,Machine A,59,8,61,#ee151d,8
24,Machine B,64,5,37,#aaf431,9
25,Machine A,70,4,40,#f972ec,6
26,Machine B,13,4,77,#441662,9
27,Machine A,48,6,55,#b8b851,7
28,Machine A,5,5,62,#86be58,6
29,Machine C,1,6,62,#212aa8,3
30,Machine B,0,4,53,#967a53,2
31,Machine B,23,7,50,#714ed2,6
32,Machine C,32,5,60,#96e02b,10
33,Machine A,1,7,27,#f6610b,8
34,Machine A,81,6,72,#b73772,2
35,Machine A,4,6,38,#4d19d5,9
36,Machine A,63,5,70,#3b78c4,10
37,Machine A,15,5,83,#896be5,7
38,Machine B,55,6,71,#eaa8d4,2
39,Machine B,78,5,41,#550bf2,4
40,Machine B,4,5,67,#2fcc6d,8
41,Machine B,30,7,31,#1b1d2f,3
42,Machine A,18,4,83,#5c26c6,10
43,Machine A,71,7,55,#3c2595,10
44,Machine C,72,6,74,#aa2db5,8
45,Machine A,0,4,41,#693931,8
46,Machine C,22,5,64,#8bb8e0,1
47,Machine C,88,5,52,#ee588a,5
48,Machine C,27,5,21,#4da0a9,1
49,Machine A,10,7,51,#becf4c,2
50,Machine A,58,6,33,#38f11f,1
51,Machine C,80,4,58,#5853b1,7
52,Machine B,91,4,80,#34428a,9
53,Machine A,6,7,23,#62b494,4
54,Machine C,92,8,35,#3114f2,7
55,Machine B,6,7,63,#7e78f1,6
56,Machine A,90,8,51,#d5ece2,1
57,Machine B,100,4,41,#acd889,4
58,Machine A,82,7,43,#17fdb2,6
59,Machine B,23,5,49,#792aa3,7
