id,machine,start,processing_time,due_date,color,weight
1,Machine A,57,4,70,#3abceb,4
2,Machine B,98,6,48,#8016c0,8
3,Machine A,16,9,57,#0b5557,7
4,Machine B,15,5,64,#800d08,7
5,Machine C,65,7,31,#18260a,4
6,Machine A,59,5,41,#ee4f1a,8
7,Machine A,13,7,90,#783f3f,9
8,Machine A,48,4,64,#2c24b6,9
9,Machine A,84,5,87,#7466f6,4
10,Machine A,25,6,30,#6779e4,2
11,Machine A,37,4,45,#3730f6,4
12,Machine B,40,4,21,#4ee848,1
13,Machine D,82,6,85,#abbc03,7
14,Machine A,100,4,87,#d40a0f,7
15,Machine A,62,5,31,#01dd3e,8
16,Machine D,65,4,84,#c4e6d3,2
17,Machine C,33,5,33,#7b168d,3
18,Machine B,65,4,36,#82212e,4
19,Machine C,29,4,62,#793274,8
20,Machine B,72,4,86,#d4c999,9
21,Machine A,72,4,78,#ae5de8,7
22,Machine B,90,6,39,#95a6ef,9
23,Machine A,96,4,54,#bee721,10
24,Machine C,60,4,88,#b2a12f,5
25,Machine B,37,6,47,#f0c88b,4
26,Machine A,15,6,58,#011aea,4
27,Machine C,27,7,51,#2903f2,9
28,Machine C,46,8,27,#ec509d,4
29,Machine B,29,6,73,#54feae,7
30,Machine A,15,6,81,#f18727,5
31,Machine C,91,6,58,#b4d201,6
32,Machine A,16,5,29,#6c7976,5
33,Machine C,24,6,71,#ee407c,9
34,Machine D,87,5,83,#8619db,3
35,Machine D,33,5,35,#acea3f,8
36,Machine B,52,4,37,#fede78,4
37,Machine A,81,5,51,#6cb30a,10
38,Machine A,76,6,88,#dcba82,6
39,Machine D,21,4,91,#88903c,5
40,Machine B,92,4,34,#3dc706,9
41,Machine B,72,5,48,#8092d6,2
42,Machine C,62,6,84,#470e0a,7
43,Machine D,65,4,70,#ce9532,7
44,Machine C,28,7,88,#90230a,2
45,Machine B,56,5,89,#0240a2,5
46,Machine B,99,7,82,#3b3eef,10
47,Machine D,6,5,86,#294fb4,9
48,Machine C,9,4,84,#089313,8
49,Machine A,16,4,43,#29830d,2
50,Machine B,35,5,56,#54973f,1
51,Machine D,62,5,46,#0df929,9
52,Machine C,15,4,84,#18b247,3
53,Machine A,7,6,37,#5ebdd5,10
54,Machine D,11,4,60,#2a60d7,7
55,Machine B,6,4,48,#0e3c09,9
56,Machine A,28,6,76,#e3ca59,3
57,Machine B,65,6,80,#d57d0f,10
58,Machine A,30,5,64,#7cd0ac,3
59,Machine B,82,4,37,#c0d93b,5
60,Machine A,27,5,46,#c8f538,6
61,Machine C,28,6,67,#0099f7,10
62,Machine B,10,4,74,#44759a,1
63,Machine A,10,4,51,#021ba0,10
64,Machine D,20,4,80,#ab5d09,5
65,Machine C,75,4,33,#30bace,8
66,Machine B,57,5,23,#06f5a6,3
67,Machine B,77,5,86,#645c77,2
68,Machine B,59,4,77,#5e81f0,6
69,Machine D,82,4,45,#539d42,6
70,Machine C,32,7,46,#3545ab,7
71,Machine C,32,8,64,#5a9b7a,4
72,Machine A,43,4,74,#b5d334,3
73,Machine A,22,4,30,#4457a5,6
74,Machine D,62,4,45,#b21f48,3
75,Machine A,81,7,22,#b79755,6
76,Machine C,54,4,89,#5c97ee,9
77,Machine C,85,5,63,#0d6d7b,9
78,Machine B,77,4,39,#425c53,9
79,Machine C,52,4,58,#25db9e,6
80,Machine A,48,4,84,#6edbc4,9
81,Machine B,87,5,30,#aba72e,3
82,Machine B,23,7,68,#440700,2
83,Machine A,83,5,50,#7fb238,3
84,Machine D,38,4,65,#7dede5,5
85,Machine D,19,4,47,#45c9a6,1
86,Machine A,65,6,26,#ac9779,3
87,Machine A,22,6,79,#a332cb,4
