id,machine,start,processing_time,due_date,color,weight
1,Machine D,65,4,94,#0b60f6,8
2,Machine C,10,4,91,#5bc213,4
3,Machine C,90,5,70,#502426,10
4,Machine A,95,5,67,#0ff7ca,4
5,Machine B,65,4,78,#768ee8,10
6,Machine B,93,4,61,#e7cc55,8
7,Machine B,37,6,86,#7de14b,5
8,Machine C,30,6,53,#b13d61,3
9,Machine B,91,6,73,#9a5bd3,7
10,Machine B,23,5,81,#1595e9,1
11,Machine A,35,4,24,#bb1d59,9
12,Machine B,39,5,77,#772fbc,6
13,Machine C,100,5,30,#66e8d7,6
14,Machine A,46,5,94,#816970,1
15,Machine D,63,4,85,#001677,3
16,Machine A,91,4,67,#311d1d,7
17,Machine B,39,5,23,#d5c734,3
18,Machine A,29,4,22,#8e40fc,6
19,Machine B,39,4,49,#eb9940,10
20,Machine A,83,6,89,#b8e7a1,10
21,Machine C,23,7,31,#1f2008,2
22,Machine B,40,5,60,#d52b9a,5
23,Machine A,75,4,29,#100a21,4
24,Machine A,45,10,54,#7524b4,6
25,Machine A,80,4,48,#655ec3,4
26,Machine C,9,4,93,#ffbd2b,10
27,Machine A,20,6,91,#235c44,6
28,Machine B,19,5,22,#c2d23b,10
29,Machine C,71,6,33,#b4c639,6
30,Machine C,51,5,67,#a39956,7
31,Machine C,97,4,48,#245360,10
32,Machine D,74,4,30,#0ad2dd,2
33,Machine B,42,4,67,#42e0b2,8
34,Machine A,18,4,22,#23a277,3
35,Machine C,74,4,23,#93e91c,1
36,Machine B,97,6,68,#cd28d5,8
37,Machine D,91,5,90,#a52afd,1
38,Machine B,28,6,48,#8534cc,4
39,Machine B,94,5,69,#35fbba,7
40,Machine A,92,4,46,#69464f,8
41,Machine A,80,4,60,#58c82b,10
42,Machine A,64,4,91,#5560a6,9
43,Machine C,20,4,63,#0b524d,9
44,Machine A,13,5,93,#c867b2,10
45,Machine D,6,6,59,#2256bb,4
46,Machine B,55,5,45,#b4b82d,8
47,Machine B,19,5,64,#575817,4
48,Machine A,68,8,64,#a20c69,7
49,Machine C,48,5,72,#0f395d,4
50,Machine A,70,4,30,#28c01e,1
51,Machine B,44,5,57,#2876b1,2
52,Machine B,17,5,30,#e01462,6
53,Machine A,12,4,78,#f6f6af,3
54,Machine A,87,5,88,#e273d6,8
55,Machine C,5,7,60,#a09d95,8
56,Machine D,5,4,49,#0ab00c,4
57,Machine B,90,4,79,#9916c1,8
58,Machine A,58,5,71,#eea1ec,5
59,Machine C,28,5,25,#103d2f,9
60,Machine D,43,4,34,#05db23,2
61,Machine C,76,5,88,#ccff6c,2
62,Machine B,4,4,47,#5deccc,9
63,Machine D,9,4,45,#47e440,5
64,Machine B,25,4,67,#a51842,5
65,Machine C,23,8,83,#169f84,9
66,Machine C,93,6,95,#26e695,8
67,Machine A,81,5,87,#e73b57,9
68,Machine A,45,6,37,#fca6f1,10
69,Machine C,59,6,71,#aa85da,1
70,Machine A,2,5,67,#27c511,6
71,Machine C,82,4,51,#ee0271,3
72,Machine C,97,4,68,#905196,10
73,Machine A,38,4,41,#131276,2
74,Machine A,36,6,55,#5b10ef,9
75,Machine C,10,6,74,#65ffb5,5
76,Machine A,33,5,46,#712db9,5
77,Machine D,65,5,76,#d14a58,1
78,Machine A,18,6,28,#08c078,10
79,Machine B,19,5,55,#9dcc7e,1
80,Machine B,35,4,45,#8fa105,1
81,Machine C,96,5,63,#f83845,3
82,Machine D,26,4,95,#092da7,6
83,Machine D,2,4,96,#ed9a5e,6
84,Machine C,23,5,24,#09be63,9
85,Machine C,43,5,55,#d6c276,8
86,Machine A,78,5,22,#ddc84d,9
87,Machine A,41,7,30,#1a33d9,3
88,Machine C,64,4,52,#b7b6c1,6
89,Machine C,66,4,95,#fc6e60,8
90,Machine C,71,5,62,#c2a472,4
91,Machine A,46,4,93,#a47517,2
92,Machine B,41,4,95,#418885,4
