id,machine,start,processing_time,due_date,color,weight
1,Machine A,19,4,116,#f41d0c,5
2,Machine B,91,6,111,#c4a0e2,3
3,Machine A,12,5,78,#78ceb9,7
4,Machine A,79,9,116,#0ddb20,10
5,Machine B,0,8,46,#73b9d7,6
6,Machine B,30,6,76,#5a8d40,1
7,Machine A,18,6,34,#fcc0e7,1
8,Machine B,33,9,49,#3c2388,2
9,Machine B,32,6,30,#8161b0,10
10,Machine A,12,7,67,#6cce1c,7
11,Machine B,30,4,81,#7c55d3,9
12,Machine A,29,8,100,#4cd98e,5
13,Machine B,18,6,32,#e95167,7
14,Machine B,80,4,82,#b113fd,9
15,Machine A,22,10,76,#043bb5,8
16,Machine A,33,5,64,#e2936e,4
17,Machine A,96,4,85,#153386,8
18,Machine B,89,7,75,#d2ea39,6
19,Machine A,41,5,110,#087168,7
20,Machine A,60,7,83,#946f3b,2
21,Machine A,61,5,43,#924df6,7
22,Machine A,71,4,106,#541aca,9
23,Machine B,27,4,46,#ec365f,2
24,Machine A,27,9,65,#ce2a1a,5
25,Machine A,62,9,70,#02b1a7,4
26,Machine A,75,5,64,#6d6954,8
27,Machine B,31,4,92,#8209f2,6
28,Machine A,61,7,65,#d8259e,5
29,Machine B,0,5,76,#3396bc,8
30,Machine A,68,5,80,#2535fc,5
31,Machine A,50,9,50,#ffecd3,1
32,Machine A,25,9,28,#7c3f1b,2
33,Machine B,65,4,95,#cd62b3,5
34,Machine A,94,5,65,#68f0bc,1
35,Machine A,18,6,90,#b37108,6
36,Machine A,74,7,54,#ac2bce,3
37,Machine A,69,8,30,#d6311b,6
38,Machine A,69,6,112,#67e98d,5
39,Machine B,44,4,115,#30ec85,4
40,Machine B,17,9,37,#b540e3,3
41,Machine A,36,8,51,#a212e4,7
42,Machine A,82,6,44,#61a4d1,4
43,Machine A,73,6,36,#0d9f69,6
44,Machine A,50,5,60,#997c3f,1
45,Machine A,58,10,44,#27bdc5,10
46,Machine A,93,9,111,#c4a12f,3
47,Machine A,22,5,50,#2e4e9f,7
48,Machine B,11,4,56,#0e02c9,4
49,Machine A,10,4,59,#f6b99c,7
50,Machine B,12,8,69,#c2460b,10
51,Machine A,25,4,111,#eca727,1
52,Machine B,22,10,57,#5bfcb0,4
53,Machine B,0,5,115,#1f7876,7
54,Machine A,70,5,88,#abd853,9
55,Machine A,13,9,72,#1914d4,1
56,Machine A,41,4,27,#8ffd20,8
