id,machine,start,processing_time,due_date,color,weight
1,Machine B,30,9,86,#5d82cf,6
2,Machine B,28,7,121,#efba2a,9
3,Machine B,72,10,107,#e215bb,9
4,Machine A,57,10,105,#2559d3,9
5,Machine B,68,5,44,#1d646f,5
6,Machine A,47,4,141,#b622a7,6
7,Machine B,6,5,45,#0d5877,8
8,Machine B,31,5,43,#28a6ec,8
9,Machine B,56,6,124,#762c0d,6
10,Machine B,46,7,92,#5682b0,1
11,Machine A,23,4,85,#b55144,3
12,Machine A,30,4,129,#a1ddc9,10
13,Machine A,31,4,158,#2e63de,8
14,Machine A,44,4,113,#4df9a2,6
15,Machine A,47,4,140,#29a796,10
16,Machine B,96,6,164,#68ca5f,10
17,Machine B,83,6,55,#6e5310,9
18,Machine A,33,7,79,#186a3f,10
19,Machine A,79,9,56,#7f56df,1
20,Machine A,78,6,39,#7324e5,1
21,Machine A,84,8,144,#636463,2
22,Machine A,23,5,173,#6deb0a,2
23,Machine B,5,8,91,#9275c2,2
24,Machine A,65,4,132,#dd2d8a,9
25,Machine B,48,5,157,#49c8e3,2
26,Machine B,59,6,153,#5879fc,10
27,Machine B,90,8,100,#d15a83,6
28,Machine B,41,4,150,#80af0a,1
29,Machine A,4,7,91,#489988,6
30,Machine A,15,7,104,#8183ff,3
31,Machine B,77,8,59,#057907,9
32,Machine B,30,6,85,#115a42,6
33,Machine A,25,4,151,#35fac0,9
34,Machine A,81,5,51,#f787b5,10
35,Machine A,98,5,171,#8ee1c4,4
36,Machine B,38,5,100,#56a321,1
37,Machine B,38,5,112,#b97fb3,9
38,Machine A,27,4,128,#330dec,3
39,Machine A,86,6,160,#90277e,2
40,Machine A,55,4,92,#861e21,1
41,Machine B,47,4,39,#f5e15d,8
42,Machine B,88,6,152,#7a4792,10
43,Machine A,72,5,64,#66aab8,2
44,Machine A,14,9,64,#71dae6,1
45,Machine A,96,6,52,#6cc673,9
46,Machine B,41,9,78,#ccb7a6,8
47,Machine A,28,4,121,#f38d2e,8
48,Machine A,20,5,75,#14880c,10
49,Machine A,63,6,137,#e43655,9
50,Machine B,53,8,125,#da4147,1
51,Machine A,26,8,153,#53044b,9
52,Machine A,80,4,94,#092ff3,8
53,Machine A,78,5,152,#b16b52,5
54,Machine A,41,6,97,#d0bd40,6
55,Machine B,55,5,88,#09be1d,7
56,Machine B,87,5,114,#aedf11,4
57,Machine B,66,5,56,#460300,5
58,Machine A,44,8,152,#9e4f96,8
59,Machine A,9,6,77,#9febc1,4
60,Machine B,34,4,40,#0502c7,8
61,Machine B,83,5,128,#9716fd,3
62,Machine B,17,5,48,#fef91c,9
63,Machine A,27,11,103,#e2fa4d,4
64,Machine B,61,6,135,#37b5f2,1
65,Machine B,99,7,131,#091474,1
66,Machine A,6,5,151,#12ee74,10
67,Machine A,35,6,107,#49726d,4
68,Machine B,95,5,136,#e3aaa7,1
69,Machine B,64,4,138,#ae5a8d,7
70,Machine B,43,5,134,#fd9286,4
71,Machine B,47,4,74,#d3c94e,4
72,Machine A,12,6,150,#f6908c,9
73,Machine A,24,5,64,#fe7e16,7
74,Machine B,13,6,90,#3d4c2e,2
75,Machine A,94,6,54,#3dbac8,7
76,Machine A,28,9,72,#de1ab1,1
77,Machine A,67,4,110,#8fec00,3
78,Machine B,32,9,50,#1961c2,3
79,Machine A,28,10,65,#404189,3
80,Machine A,90,5,96,#9c4fff,8
81,Machine B,52,5,84,#62e053,5
82,Machine A,48,6,139,#df3735,3
83,Machine B,9,7,126,#c2355e,2
84,Machine A,9,4,100,#aa2616,8
85,Machine B,24,5,152,#62769a,9
