id,machine,start,processing_time,due_date,color,weight
1,Machine A,16,5,80,#87dd63,5
2,Machine A,49,7,107,#14cd89,4
3,Machine B,28,4,94,#e827c3,4
4,Machine B,20,4,82,#739e5b,4
5,Machine C,21,5,115,#8c9100,1
6,Machine A,95,7,49,#0954dc,5
7,Machine C,66,5,98,#02d62d,1
8,Machine A,32,4,79,#e640d9,4
9,Machine B,37,5,42,#e3bfd3,1
10,Machine B,14,4,28,#26a336,6
11,Machine B,29,4,64,#d7a237,9
12,Machine C,29,5,47,#1eac3a,2
13,Machine C,86,4,101,#3332b6,9
14,Machine B,24,6,89,#0ff611,2
15,Machine C,41,8,72,#70da1a,6
16,Machine B,70,4,116,#383534,9
17,Machine A,83,9,95,#e1f019,6
18,Machine B,6,7,106,#7bb242,4
19,Machine A,22,6,37,#9e353a,6
20,Machine C,87,10,33,#dc5f44,1
21,Machine A,9,5,37,#67e422,7
22,Machine A,7,7,114,#59a6f4,3
23,Machine B,27,6,65,#30cf4f,10
24,Machine A,61,4,34,#bc7529,3
25,Machine A,95,6,32,#b80369,6
26,Machine C,61,7,29,#716f54,9
27,Machine C,1,5,93,#7b6ce7,1
28,Machine C,3,4,45,#eda925,10
29,Machine C,18,4,70,#a41303,10
30,Machine B,30,7,101,#677208,5
31,Machine A,27,4,107,#341612,10
32,Machine A,40,4,48,#fd16a5,2
33,Machine B,69,7,53,#a799ed,10
34,Machine B,17,6,32,#43362c,5
35,Machine A,25,4,75,#c0529f,4
36,Machine B,42,7,70,#3339b6,8
37,Machine C,3,6,38,#5eaf0e,4
38,Machine A,55,7,40,#512f2a,4
39,Machine A,22,4,87,#82c05f,4
40,Machine C,59,4,78,#0bc9d5,2
41,Machine A,39,6,97,#181779,3
42,Machine A,85,10,46,#10d915,10
43,Machine C,10,5,67,#44fa99,4
44,Machine B,94,4,41,#a02589,9
45,Machine A,100,9,66,#650779,7
46,Machine C,47,8,45,#fcef57,6
47,Machine A,60,6,90,#ab1137,6
48,Machine B,6,5,91,#2ad1c0,7
49,Machine C,65,4,29,#74b84d,9
50,Machine C,67,6,31,#aff3ea,6
51,Machine C,25,7,65,#139c7e,1
52,Machine A,21,7,103,#171904,3
53,Machine A,64,5,79,#5ebdc9,3
54,Machine C,50,4,29,#4a6f65,1
55,Machine A,4,8,72,#f22616,9
56,Machine A,33,6,61,#88e422,1
57,Machine A,12,4,79,#068b53,6
58,Machine A,48,6,98,#fb67df,4
59,Machine B,12,5,29,#be7388,9
60,Machine B,39,6,73,#f9fe1a,5
61,Machine C,28,4,31,#85ba22,8
62,Machine A,43,4,90,#45d046,10
63,Machine A,35,5,64,#753468,3
64,Machine C,28,4,108,#b15cdb,8
65,Machine C,91,5,108,#2981f2,10
66,Machine B,38,4,101,#1379bb,6
67,Machine A,74,4,68,#51f7b1,2
68,Machine B,14,5,110,#de1d7f,4
69,Machine A,91,5,37,#9f201f,3
70,Machine B,96,5,86,#5ccc58,5
71,Machine A,82,5,27,#3899cb,7
72,Machine A,90,6,59,#9a6851,6
73,Machine C,64,7,42,#476aae,2
74,Machine B,73,4,32,#980a02,9
75,Machine C,19,4,62,#253216,4
76,Machine C,39,6,87,#c67acd,6
77,Machine B,44,4,52,#770df7,10
78,Machine A,85,4,28,#8e8f2c,2
79,Machine C,40,5,93,#922779,5
80,Machine B,57,6,82,#fb7f73,7
81,Machine C,93,4,97,#efcb95,2
82,Machine C,36,4,95,#5fb2ae,3
83,Machine C,83,4,82,#f8474b,1
84,Machine C,53,4,68,#d507ec,2
