id,machine,start,processing_time,due_date,color,weight
1,Machine A,74,7,59,#18ca92,10
2,Machine A,98,7,111,#eabbb1,6
3,Machine A,82,5,76,#9a64c7,8
4,Machine A,88,5,75,#a04a23,5
5,Machine B,92,5,90,#315b8a,4
6,Machine B,54,7,37,#3f1d3a,9
7,Machine A,24,6,44,#aaabb2,3
8,Machine A,1,6,86,#5b24ec,7
9,Machine A,64,5,36,#962e98,8
10,Machine A,30,11,45,#ecd5b3,9
11,Machine A,77,4,87,#261079,3
12,Machine A,89,5,44,#e10eeb,9
13,Machine B,88,7,117,#2b731e,3
14,Machine A,61,6,111,#09842a,8
15,Machine A,61,8,112,#13c0af,6
16,Machine A,17,8,128,#0c60ad,10
17,Machine B,84,5,124,#659354,9
18,Machine B,43,4,125,#0096f3,8
19,Machine A,14,5,80,#1ac4ea,7
20,Machine B,69,6,138,#7da43a,9
21,Machine B,64,5,106,#ae9124,1
22,Machine A,29,5,71,#446f54,8
23,Machine A,24,7,54,#f31b93,10
24,Machine B,71,6,77,#a62f89,9
25,Machine A,80,4,121,#32281e,2
26,Machine A,75,7,64,#ed76b9,1
27,Machine B,42,4,74,#58766e,6
28,Machine A,31,4,129,#c90b8c,2
29,Machine A,38,8,50,#7197d0,4
30,Machine B,75,9,144,#41fb13,2
31,Machine B,10,5,79,#8f0095,5
32,Machine A,4,7,63,#9c9b83,7
33,Machine B,22,4,90,#fc12ee,10
34,Machine A,49,9,34,#7a9850,3
35,Machine A,28,4,111,#d92afe,10
36,Machine A,76,6,71,#132444,10
37,Machine B,69,6,52,#155e36,4
38,Machine A,94,8,36,#4b855e,4
39,Machine A,53,7,139,#9b0780,9
40,Machine A,36,7,123,#bce8d4,7
41,Machine A,75,5,82,#b7b463,4
42,Machine B,28,4,78,#5e05e1,5
43,Machine A,47,10,112,#243610,6
44,Machine B,37,4,139,#976636,9
45,Machine B,33,7,107,#ceb803,8
46,Machine B,75,8,108,#3380f0,3
47,Machine A,79,8,148,#ee6063,4
48,Machine A,82,4,74,#55c20f,7
49,Machine B,62,6,116,#f06e27,4
50,Machine B,1,5,117,#0fe6b1,7
51,Machine A,57,4,68,#2abe40,3
52,Machine A,43,9,68,#3bc011,9
53,Machine A,40,6,33,#6b5547,6
54,Machine B,37,6,103,#fd4b3a,9
55,Machine A,46,9,34,#40159f,5
56,Machine B,24,8,126,#3a0390,10
57,Machine A,68,4,107,#f80d39,9
58,Machine B,69,5,107,#431e69,2
59,Machine A,21,6,73,#7d9b0d,2
60,Machine B,19,5,104,#ce38ad,5
61,Machine A,30,4,110,#010ce3,6
62,Machine A,82,7,52,#de0506,8
63,Machine A,93,7,116,#c287c1,6
64,Machine A,34,7,117,#d83e89,9
65,Machine A,3,4,99,#8bf0f3,8
66,Machine B,72,4,50,#80a08c,4
67,Machine A,15,4,137,#fc624c,9
68,Machine B,57,9,47,#935907,7
69,Machine A,4,6,115,#7c1ae2,9
70,Machine B,99,4,75,#2c8c57,9
71,Machine A,64,4,135,#e75fb5,1
72,Machine A,88,9,72,#630e46,6
