id,machine,start,processing_time,due_date,color,weight
1,Machine A,82,4,96,#ac01a4,5
2,Machine C,80,4,52,#66a0ed,6
3,Machine C,57,4,45,#ff07ab,2
4,Machine A,33,7,83,#b4dbd2,9
5,Machine A,60,8,92,#ffa12a,4
6,Machine A,36,6,69,#829c93,8
7,Machine A,23,6,79,#cccd29,5
8,Machine B,23,5,60,#3eb61d,5
9,Machine C,100,5,57,#546e30,1
10,Machine B,68,4,97,#da0d0f,3
11,Machine A,34,4,29,#799d3c,7
12,Machine B,80,5,39,#ba3fe0,4
13,Machine B,64,5,119,#8711d3,5
14,Machine A,51,6,52,#549946,5
15,Machine A,49,5,87,#ae3745,8
16,Machine C,34,6,75,#45bf25,1
17,Machine A,54,5,46,#13f41f,4
18,Machine A,12,6,91,#c1d154,9
19,Machine C,56,5,95,#8f824a,7
20,Machine A,35,4,95,#84dcf3,7
21,Machine C,36,4,73,#633b9d,10
22,Machine A,25,5,65,#3282af,7
23,Machine A,92,6,96,#1f5eb8,5
24,Machine B,70,5,115,#fe5240,10
25,Machine C,100,5,116,#8d12af,5
26,Machine B,51,5,91,#5f7bf2,8
27,Machine C,27,4,82,#ebb003,9
28,Machine B,24,6,57,#a6e2ab,5
29,Machine C,29,6,29,#21cc90,10
30,Machine A,58,4,44,#9e008f,1
31,Machine C,8,4,106,#964def,9
32,Machine A,32,4,46,#c4d4e6,9
33,Machine C,9,4,106,#857596,3
34,Machine B,31,6,75,#20f4d4,3
35,Machine A,85,4,74,#067382,8
36,Machine A,71,5,80,#93a584,3
37,Machine A,41,5,63,#a85db4,10
38,Machine A,29,5,41,#04685c,8
39,Machine B,51,5,92,#2fc811,5
40,Machine A,88,6,85,#7c7eb5,1
41,Machine B,36,4,59,#90630d,5
42,Machine B,93,5,118,#299ac3,1
43,Machine A,47,5,91,#b7ecf8,1
44,Machine B,22,5,62,#1e009b,1
45,Machine C,43,5,70,#e7247b,7
46,Machine B,44,5,103,#4b8f50,7
47,Machine C,80,4,71,#2a5801,7
48,Machine A,81,4,67,#0c99ec,4
49,Machine B,93,7,116,#1fab9b,8
50,Machine C,98,7,66,#ad480f,7
51,Machine B,4,4,94,#4f1a74,10
52,Machine A,26,8,102,#6eaff9,2
53,Machine B,53,4,69,#bab18d,2
54,Machine C,40,9,81,#fba48f,2
55,Machine A,27,4,92,#95249c,6
56,Machine B,44,8,90,#809a40,9
57,Machine C,54,6,103,#a3bc87,7
58,Machine A,41,5,66,#48fc23,7
59,Machine B,36,5,74,#fa439c,1
60,Machine A,98,5,70,#693e4a,4
61,Machine A,63,8,115,#3a49bb,3
62,Machine B,42,4,53,#42f8e3,10
63,Machine C,82,6,95,#c6dd35,5
64,Machine C,35,4,37,#b7e22a,4
65,Machine B,27,7,40,#8af765,10
66,Machine B,27,6,51,#fa2365,5
67,Machine B,38,5,102,#657806,8
68,Machine C,98,6,47,#4135ae,6
69,Machine B,38,4,31,#59511a,8
70,Machine C,25,5,87,#53163b,6
71,Machine C,26,4,80,#23ed77,9
72,Machine B,82,4,118,#77cfd4,1
73,Machine C,45,6,45,#08ecb8,10
74,Machine B,34,5,33,#0799ae,10
75,Machine C,78,5,53,#03b472,9
76,Machine A,27,5,103,#f2da54,2
77,Machine A,39,4,69,#f322c2,5
78,Machine C,81,6,47,#70a6e7,3
79,Machine B,8,7,76,#48605e,10
80,Machine A,66,6,35,#bc3a4d,10
81,Machine C,51,4,95,#f2efd6,8
82,Machine B,28,4,104,#739018,6
83,Machine B,95,4,75,#de9640,6
84,Machine B,44,8,72,#97ecf2,9
85,Machine A,32,6,119,#db7482,1
86,Machine C,73,4,29,#fc1157,8
