id,machine,start,processing_time,due_date,color,weight
1,Machine B,95,5,26,#b13913,4
2,Machine B,29,5,99,#7726a0,5
3,Machine C,82,9,105,#2bfa16,7
4,Machine C,61,6,35,#43e948,9
5,Machine A,90,4,99,#209ab6,3
6,Machine B,50,7,104,#960dba,10
7,Machine C,89,4,108,#24bbe7,9
8,Machine B,94,5,107,#7785b1,6
9,Machine B,3,5,109,#402ec7,2
10,Machine C,85,6,90,#f7f402,7
11,Machine B,58,10,61,#1802e0,6
12,Machine C,23,5,76,#dc3f1f,3
13,Machine A,0,4,83,#dabb20,3
14,Machine A,85,4,79,#a13e03,9
15,Machine B,27,4,34,#3751a5,8
16,Machine C,19,4,85,#81c61f,4
17,Machine B,93,4,28,#df9737,6
18,Machine A,35,4,102,#d1d903,2
19,Machine B,66,4,99,#1b2b6b,2
20,Machine A,77,7,73,#3478db,9
21,Machine A,24,6,41,#fd0097,8
22,Machine C,99,5,37,#073509,8
23,Machine A,18,4,31,#b32aea,9
24,Machine C,29,4,53,#794e8a,7
25,Machine A,82,5,70,#d45e65,4
26,Machine B,59,4,77,#ed1d2e,5
27,Machine B,61,4,46,#12f0e0,2
28,Machine C,46,5,66,#36caf4,5
29,Machine C,53,6,87,#ab6771,5
30,Machine A,62,4,76,#bd3b28,9
31,Machine A,60,6,43,#54758b,8
32,Machine A,78,4,34,#5e323a,8
33,Machine A,34,6,33,#c67b1e,8
34,Machine C,48,5,106,#9dd1f1,5
35,Machine B,49,8,102,#27db89,8
36,Machine A,69,6,30,#447768,7
37,Machine A,41,5,44,#86a30d,4
38,Machine B,26,4,93,#c58d3a,10
39,Machine A,23,7,29,#bf846a,8
40,Machine A,35,4,70,#ab713c,2
41,Machine B,14,4,84,#4ef02b,1
42,Machine A,97,8,101,#b8fb9d,4
43,Machine B,37,5,69,#f8fead,2
44,Machine B,64,6,73,#e798cb,9
45,Machine A,36,6,28,#642d0f,9
46,Machine B,19,9,29,#a263b4,8
47,Machine B,53,8,33,#3abfcd,3
48,Machine B,83,4,58,#c23f57,8
49,Machine C,71,7,64,#7a1a93,8
50,Machine A,77,5,61,#477635,10
51,Machine B,65,6,35,#02e91c,7
52,Machine C,70,4,70,#5c1c53,1
53,Machine C,93,5,80,#5176c7,7
54,Machine B,4,4,74,#ed1ebf,9
55,Machine A,62,5,56,#3fa94a,9
56,Machine C,56,5,31,#2a42ef,9
57,Machine A,45,5,73,#6dba6a,7
58,Machine A,60,6,83,#29553a,8
59,Machine B,81,5,46,#19b2bf,5
60,Machine B,36,4,89,#1ea67d,3
61,Machine C,55,6,73,#4947c4,1
62,Machine A,44,7,81,#2a1e77,6
63,Machine C,67,7,45,#8e58e2,1
64,Machine C,43,5,49,#1a5d9c,6
65,Machine A,86,7,28,#1051e3,8
66,Machine B,95,4,46,#820e51,9
67,Machine C,56,6,40,#e2bc50,5
68,Machine A,70,5,83,#a14d85,7
69,Machine B,47,4,66,#aa6d74,3
70,Machine A,50,9,95,#b84609,3
71,Machine C,38,4,98,#e4af28,2
72,Machine A,46,9,48,#f8c667,7
73,Machine C,11,5,97,#7e4243,4
74,Machine B,99,5,53,#9489b1,5
75,Machine A,89,6,98,#6ee5ac,7
76,Machine B,74,9,28,#4ca2bf,6
77,Machine B,22,5,67,#5c66cc,2
78,Machine A,35,5,50,#7530fe,9
79,Machine A,17,6,84,#22f722,7
80,Machine A,57,4,29,#60605a,6
81,Machine A,72,4,41,#4139cd,2
