id,machine,start,processing_time,due_date,color,weight
1,Machine B,59,8,14,#b8b0c0,1
2,Machine B,80,5,17,#9d83ab,9
3,Machine C,100,6,40,#3d9c43,6
4,Machine B,88,8,45,#fc4607,10
5,Machine A,85,4,29,#e6571a,6
6,Machine C,63,6,25,#fb433e,2
7,Machine C,24,7,21,#b75979,2
8,Machine C,63,7,51,#0a1b27,3
9,Machine A,51,4,22,#4d3e89,3
10,Machine C,71,4,39,#5c7b69,7
11,Machine B,68,5,14,#87d071,5
12,Machine B,47,4,28,#76a47e,9
13,Machine B,78,5,38,#752008,1
14,Machine A,16,7,14,#035cb4,2
15,Machine B,88,5,28,#1279f9,9
16,Machine B,34,4,40,#5fe22d,3
17,Machine B,40,5,27,#c38949,3
18,Machine B,29,6,34,#70d9d2,7
19,Machine B,97,6,52,#ebb0b1,3
20,Machine E,82,5,34,#ad92ff,5
21,Machine E,37,4,50,#db1eec,4
22,Machine A,15,8,42,#b97370,4
23,Machine C,29,4,20,#429068,4
24,Machine A,30,6,24,#ed487c,4
25,Machine A,1,4,31,#fcfe75,5
26,Machine B,74,4,42,#b3cd50,3
27,Machine B,38,5,31,#e5e294,9
28,Machine B,32,8,46,#151ed1,10
29,Machine A,21,4,27,#afe9bc,3
30,Machine A,54,5,31,#3e52b4,6
31,Machine D,71,5,41,#381b66,7
32,Machine E,60,5,27,#0d7880,5
33,Machine C,92,5,38,#249c2f,9
34,Machine A,73,7,20,#9f019b,2
35,Machine B,45,4,50,#a37d86,8
36,Machine A,62,4,38,#cc6322,4
37,Machine C,16,4,25,#40bc55,3
38,Machine A,54,7,15,#28b386,5
39,Machine C,80,7,49,#7d2490,4
40,Machine A,72,4,39,#61c22c,7
41,Machine A,94,5,29,#81dc2f,9
42,Machine B,83,4,52,#63d6bf,8
43,Machine E,3,4,15,#e9fd1c,2
44,Machine A,55,5,24,#fc90c4,10
45,Machine A,71,6,34,#bd2f04,5
46,Machine A,34,4,49,#069d38,10
47,Machine B,74,4,17,#83e9f6,3
48,Machine D,63,7,38,#4ccd54,4
49,Machine E,78,6,20,#893568,5
50,Machine B,13,7,48,#53b88e,10
51,Machine A,36,5,42,#859e7a,5
52,Machine B,71,4,18,#49b640,9
53,Machine A,47,8,40,#b4c47b,3
54,Machine A,36,8,51,#516583,7
55,Machine B,12,4,44,#321496,1
56,Machine E,25,5,32,#ec6e47,10
57,Machine A,57,5,42,#1cdf60,10
58,Machine C,81,4,23,#a02aa6,2
59,Machine A,34,4,43,#72cb10,5
60,Machine B,44,4,50,#1ef43a,3
61,Machine D,65,5,37,#882b25,6
62,Machine A,70,4,23,#1edb03,7
63,Machine D,22,5,15,#2a7b98,5
