id,machine,start,processing_time,due_date,color,weight
1,Machine A,14,7,104,#935f7b,8
2,Machine B,88,5,106,#30c053,4
3,Machine A,44,4,100,#f94c59,8
4,Machine A,85,9,101,#1c2501,3
5,Machine B,8,7,116,#1b3553,4
6,Machine A,80,5,94,#1ff33b,9
7,Machine A,37,9,70,#7106ad,1
8,Machine B,73,8,125,#70191e,6
9,Machine A,35,4,139,#e19a92,8
10,Machine A,5,8,156,#08200a,2
11,Machine A,85,9,70,#83b729,3
12,Machine A,2,7,58,#e1a089,2
13,Machine A,63,7,52,#8811da,7
14,Machine A,33,4,120,#4002b6,7
15,Machine B,55,6,55,#3bc8b7,3
16,Machine B,60,4,58,#43ef01,10
17,Machine B,17,7,37,#1406fe,7
18,Machine B,29,6,105,#d9f38d,7
19,Machine A,75,5,128,#ca1051,9
20,Machine B,58,7,69,#0aff34,3
21,Machine A,98,6,138,#bff3a5,8
22,Machine B,79,6,126,#0d637b,4
23,Machine A,66,11,69,#a6e4f7,5
24,Machine B,68,4,54,#d66a81,3
25,Machine A,10,8,140,#034b77,9
26,Machine A,13,7,123,#43772a,10
27,Machine A,67,7,127,#318f40,1
28,Machine B,64,6,58,#feec5a,5
29,Machine A,18,7,112,#1ab0e1,3
30,Machine A,12,5,147,#05f9fe,7
31,Machine B,96,4,80,#e0bc74,9
32,Machine A,95,4,38,#480da1,6
33,Machine A,96,6,36,#8d0f67,5
34,Machine A,6,4,37,#4cfcd2,5
35,Machine A,56,7,156,#1fc163,7
36,Machine A,48,4,143,#f46a08,1
37,Machine A,98,4,112,#a8b4ef,7
38,Machine A,97,5,63,#784f7c,9
39,Machine A,87,4,114,#092064,9
40,Machine B,4,4,97,#e3ac94,10
41,Machine A,41,5,153,#ec827c,6
42,Machine A,85,5,149,#4ab170,9
43,Machine A,98,5,78,#4d9458,10
44,Machine B,73,5,76,#c22aa3,10
45,Machine A,46,4,81,#d8ef33,4
46,Machine B,40,5,165,#c8760b,3
47,Machine A,68,9,130,#e3d62e,2
48,Machine B,84,8,119,#738e68,10
49,Machine B,81,4,145,#8ec968,2
50,Machine B,87,9,84,#a15565,4
51,Machine B,87,5,56,#df64b6,4
52,Machine A,59,5,107,#1fc420,1
53,Machine B,98,7,95,#2dbc30,5
54,Machine B,5,6,126,#a644b7,5
55,Machine A,32,8,109,#1254a6,3
56,Machine B,18,7,54,#16f0fe,2
57,Machine A,47,8,47,#be418c,8
58,Machine A,28,7,162,#a52d05,10
59,Machine A,88,4,87,#8ac4e2,6
60,Machine B,56,8,72,#228337,4
61,Machine A,59,7,154,#951983,5
62,Machine A,52,8,142,#c71b18,9
63,Machine B,75,5,54,#b346bb,6
64,Machine B,91,5,46,#2292f2,7
65,Machine B,52,7,96,#df93f5,5
66,Machine B,61,6,150,#fe2092,6
67,Machine A,91,4,156,#56496a,1
68,Machine B,31,4,151,#389172,5
69,Machine A,16,7,99,#4934f6,5
70,Machine A,47,6,58,#e1dd6f,7
71,Machine A,34,5,60,#215cfe,3
72,Machine B,75,8,38,#a3e8c8,5
73,Machine A,50,5,79,#489502,1
74,Machine B,48,5,117,#cfc24e,5
75,Machine B,3,7,85,#2f7bb5,5
76,Machine A,62,5,152,#f75b61,2
77,Machine A,100,9,117,#3ec3f7,7
78,Machine A,0,4,92,#d680bd,4
79,Machine A,22,11,89,#f0cf7f,2
80,Machine A,70,7,120,#1ec8eb,7
81,Machine A,81,6,116,#dc5135,7
