id,machine,start,processing_time,due_date,color,weight
1,Machine B,34,4,21,#13227d,7
2,Machine A,28,6,16,#f8269f,4
3,Machine B,65,6,11,#d9f126,5
4,Machine B,37,6,27,#ca9691,6
5,Machine A,32,4,18,#d36189,10
6,Machine C,15,4,19,#17db54,7
7,Machine B,82,4,13,#d08213,3
8,Machine A,16,7,15,#a37ab2,7
9,Machine A,55,4,22,#9cd1ad,4
10,Machine A,28,4,13,#b5bca1,6
11,Machine B,20,4,12,#54fb6f,4
12,Machine A,82,8,28,#a2f617,6
13,Machine A,99,7,9,#8880cc,3
14,Machine B,82,4,15,#917a21,3
15,Machine A,53,10,22,#acde7d,8
16,Machine B,23,8,11,#237f75,8
17,Machine A,29,4,21,#e7ef07,5
18,Machine B,61,6,19,#dcb049,9
