id,machine,start,processing_time,due_date,color,weight
1,Machine A,21,4,22,#893fb4,8
2,Machine C,39,4,24,#fc9d9b,8
3,Machine B,4,7,28,#3edcc9,10
4,Machine C,49,4,11,#6915d2,4
5,Machine A,87,7,15,#ceac3b,3
6,Machine A,18,6,16,#d7b8b9,1
7,Machine B,76,4,26,#83c895,9
8,Machine A,85,6,17,#6182e9,3
9,Machine A,26,5,16,#d30cb3,9
10,Machine A,57,5,18,#3a416c,5
11,Machine C,64,5,21,#4b633e,2
12,Machine A,75,7,16,#226b6e,9
13,Machine B,42,7,11,#29a5eb,9
14,Machine A,87,6,25,#f7663c,10
15,Machine B,37,4,18,#6f237d,5
16,Machine A,6,6,23,#26f6d5,7
17,Machine C,34,7,21,#015b83,10
18,Machine C,62,7,12,#a2d5d0,6
