id,machine,start,processing_time,due_date,color,weight
1,Machine A,37,4,25,#958a75,7
2,Machine B,95,5,25,#29b405,1
3,Machine A,50,5,13,#9786c8,2
4,Machine A,65,6,14,#95ece2,9
5,Machine C,5,6,20,#9088a0,9
6,Machine B,20,9,23,#30283e,1
7,Machine A,30,9,17,#254bd8,4
8,Machine A,37,7,21,#3c7a6b,9
9,Machine A,3,4,19,#cb8c8e,2
10,Machine B,62,5,29,#86106f,5
11,Machine A,2,6,17,#d3a54b,6
12,Machine A,23,6,29,#8011ae,10
13,Machine C,52,7,17,#8fa854,1
14,Machine C,82,5,25,#f019db,10
15,Machine A,56,6,10,#1520ca,8
16,Machine B,92,4,22,#d505b4,1
17,Machine C,17,5,15,#9b56b2,8
18,Machine B,97,10,29,#c27123,9
19,Machine C,84,5,17,#a50c05,3
